Code,Product,Quantity on Hand,Reserved,Available
02370,Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,117.0,0.0,117.0
02413,Wardah Lightening Micellar Gentle Wash 100 ml,8333.0,0.0,8333.0
02428,Wardah Lightening Face Toner 125 ml,112.0,0.0,112.0
02808,Kahf Invigorating Waterfall Eau de Toilette 35 ml,19.0,0.0,19.0
02809,Kahf Humbling Forest Eau de Toilette 35 ml,17.0,0.0,17.0
02810,Kahf True Brotherhood Eau de Toilette 35 ml,19.0,0.0,19.0
02811,Kahf Revered Oud Eau de Toilette 35 ml,11.0,0.0,11.0
02812,Kahf Skin Energizing and Brightening Face Wash 100 ml,19.0,0.0,19.0
02813,Kahf Oil and Acne Care Face Wash 100 ml,17.0,0.0,17.0
02864,Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g,112.0,0.0,112.0
02966,Kahf Gentle Exfoliating Face Scrub 100 ml,16.0,0.0,16.0
02967,Kahf Triple Protection Sunscreen Moisturizer 30 ml,12.0,0.0,12.0
03222,Kahf Brightening and Texture Refining Face Serum 35 ml,40.0,0.0,40.0
03737,LABORE Sensitive Skin Care BiomeRepair Barrier Revive Cream 50 ml,239.0,0.0,239.0
03740,LABORE Sensitive Skin Care GentleBiome Mild Cleanser 100 ml,239.0,0.0,239.0
03743,LABORE Sensitive Skin Care BiomeProtect Physical Sunscreen 30 ml,239.0,0.0,239.0
03875,Kahf Cooling and Brightening Body Wash 200 ml,30.0,0.0,30.0
03893,Kahf Triple Action Oil and Comedo Defense Face Wash 100 ml,11.0,0.0,11.0
03995,Wardah Exclusive Two Way Cake 02 Light Beige 12 g,62.0,0.0,62.0
04227,Kahf All-in-One Power Toning Face Spray 100 ml,16.0,0.0,16.0
04706,"Wardah Exclusive Matte Lip Cream 07 Hello, Ruby 4g",62.0,0.0,62.0
